config,seed,f1,f2,f3,f4,hv,delta_h_mean,delta_h_max,wall_s
dl_hi,19,315.00000000000006,2088.7525176454064,1274.0000000000002,0.0,0.5959438614633967,0.11324483370476628,0.2354121307185204,0.745
dl_hi,20,368.66666666666674,2381.0868818413323,1293.6666666666667,0.0,0.7390850781431735,0.030791404629347197,0.21414297873937738,0.781
dl_hi,21,310.0,2165.4476494560254,1368.8333333333333,0.0,0.5800885138177642,0.09605924451716258,0.23137870837268293,0.756
dl_hi,22,344.99999999999994,2390.2946895215277,1285.1666666666667,0.0,0.7929651093661384,0.05514395958893801,0.19872771294445324,0.75
dl_hi,23,325.99999999999994,2274.6530140411123,1416.4999999999998,0.0,0.3260293882452774,0.0804490379860567,0.19704036202258546,0.78
dl_hi,24,285.0,1854.74403950294,1287.0,0.0,0.38954616551169513,0.06239483171935141,0.2321233466082897,0.774
dl_hi,25,287.66666666666663,2226.1575424216153,1259.6666666666667,0.0,0.5525649694096841,0.09693481995168048,0.1885288238135966,0.745
dl_hi,26,298.66666666666663,1892.8667150114886,1225.6666666666665,0.0,0.6016234453840191,0.082908503883077,0.22081245624827528,0.752
dl_hi,27,349.3333333333333,2299.1768344233847,1351.1666666666667,0.0,0.5348121581557843,0.09699981227676516,0.19191452637645345,0.787
dl_hi,28,375.3333333333333,2413.348492614873,1397.4999999999998,0.0,0.5497455912083293,0.08090630302591093,0.23673542272357306,0.756
dl_hi,29,296.00000000000006,2170.4847543607807,1296.5,0.0,0.6903407336255629,0.12149200408155414,0.23245976919797828,0.742
dl_hi,30,340.0,1887.4356252401299,1246.1666666666665,0.0,0.7116562571677889,0.11153403814986355,0.18822431951814977,0.777
base,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.0636609821643597,0.16466890365404563,nan
base,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.08360712357107644,0.23537707572971633,nan
base,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.103132459494827,0.25064634529126995,nan
base,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.1341442184398718,0.23553612553541348,nan
base,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.11377284226401826,0.23471460884616213,nan
base,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.08287878091908349,0.2191221566886269,nan
base,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.11016282533487898,0.24182379982820368,nan
base,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.05943555645102512,0.17294952386673357,nan
base,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.08945244709131848,0.19705961602637379,nan
base,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.10585316812384675,0.21426888442478575,nan
base,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.08746625086346656,0.1996793528790507,nan
base,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.048811932862358506,0.19060091517781075,nan
base,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.07249990236402357,0.17303581480258468,nan
base,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.08766116793773926,0.22603748789013178,nan
base,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.11310309229085144,0.23861046435846467,nan
base,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.09634292692617681,0.2415687370280356,nan
base,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.059277046169867786,0.2668770622521841,nan
base,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.1357140514084921,0.2099345525665558,nan
base,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.11030009751567191,0.2306432864518222,nan
base,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.03604201342704812,0.17372233981718,nan
base,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.09693007089258819,0.2326962261744142,nan
base,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.06362930311930023,0.21677257289005059,nan
base,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.08114230118341496,0.18783006015491677,nan
base,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.06377260308264032,0.2126056501449658,nan
base,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.0935866610218211,0.19395781692380154,nan
base,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.08437465410899542,0.2032582538319826,nan
base,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.09591139245629512,0.19769742694568548,nan
base,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.0793707749590823,0.2670124804195887,nan
base,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.11976901663847991,0.2404906615225002,nan
base,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.10737073010759901,0.19989992331800344,nan
